Company,Company Location,Country of Bean Origin,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating
Christopher Elbow,U.S.A.,Tanzania,72,"3- B,S,C","basic cocoa,mild fruit, sweet",3.5
Christopher Elbow,U.S.A.,Costa Rica,70,"3- B,S,C","cocoa, woody, basic",3.25
Christopher Elbow,U.S.A.,Vietnam,72,"3- B,S,C","roasty, hammy, nutty",3
Christopher Elbow,U.S.A.,Peru,75,"3- B,S,C","bold, spice, hit of anise",3.75
Christopher Morel (Felchlin),Canada,Peru,68, ,"oily, citrus, orange",3.75
Chuao Chocolatier,U.S.A.,Venezuela,61,"5- B,S,C,V,L","sweet, peanut butter",3
Chuao Chocolatier (Pralus),U.S.A.,Venezuela,77,"3- B,S,C","red berry, bitter, roasty, sour",2.75
Claudio Corallo,Sao Tome & Principe,Blend,73.5,"2- B,S","short,mild cocoa, mild fruit",3.75
Claudio Corallo,Sao Tome & Principe,Blend,75,"3- B,S,C","dry, sandy, cocoa, coffee",3.75
Claudio Corallo,Sao Tome & Principe,Blend,80,"3- B,S,C","bitter, light lime, sour",3
Claudio Corallo,Sao Tome & Principe,Blend,100, ,"chalky, musty, very bitter",1
Cleveland Chocolate Company,U.S.A.,Dominican Republic,70,"3- B,S,C","spice, earthy, honey, sour",3.5
Cleveland Chocolate Company,U.S.A.,Haiti,79,"3- B,S,C","blueberry, sweet edge, pure",3.5
Cloudforest,U.S.A.,Ecuador,73,"2- B,S","creamy, floral, bourbon",3.5
Coco ,Canada,Peru,70,"3- B,S,C","balanced, anise, creamy",3.5
Cocoa Carib,St. Lucia,St. Lucia,70,"4- B,S,C,V","raw, dirty, metallic, dry",2.25
Cocoa Forge,U.S.A.,Madagascar,77,"2- B,S","Rich cocoa, tart, papery",3.25
Cocoa Forge,U.S.A.,Colombia,70,"3- B,S,C","sweet, cocoa, cardboard off",3.25
Cocoa Forge,U.S.A.,Peru,68,"3- B,S,C","molasses, dried fruit, tart, off",3
Compania de Chocolate (Salgado),Argentina,Venezuela,70, ,cocoa then roasted nut,3.25
Compania de Chocolate (Salgado),Argentina,Venezuela,70, ,"minty, nutty, nutmeg",3.75
Compania de Chocolate (Salgado),Argentina,Bolivia,72, ,"dry, coffee, sour",3.25
Compania de Chocolate (Salgado),Argentina,Venezuela,80, ,"very sour, mildly bitter",2.75
Compania de Chocolate (Salgado),Argentina,Ecuador,88, ,"slightly burnt, mildly bitter",2.75
Condor,U.S.A.,Ecuador,76,"2- B,S","bold, roasty, sticky, brownie",3.5
Confluence,U.S.A.,Vietnam,78,"2- B,S","woody, nutty, off sour note",2.75
Conjure,U.S.A.,Tanzania,75,"3- B,S,C","cocoa, mild fruit",3.5
Conjure,U.S.A.,Peru,68,"3- B,S,C","spicy, vanilla, sweet, cocoa",3.25
Conjure,U.S.A.,Philippines,70,"3- B,S,C","cocoa, grass, off notes",2.5
Conjure,U.S.A.,Ivory Coast,70,"3- B,S,C","off, harsh, dirty, chemical",2.5
Coppeneur,Germany,Ghana,75,"3- B,S,C","oily, rich cocoa, nutty",3.75
Coppeneur,Germany,Ecuador,65,"4- B,S,C,L","oily, fragrant, spciy",3.25
Coppeneur,Germany,Blend,72,"3- B,S,C","creamy, nutty, cocoa",3.75
Coppeneur,Germany,Ghana,85,"3- B,S,C","silky, minty",3.5
Coppeneur,Germany,Madagascar,70,"3- B,S,C","sandy, sweet, tart red berry",3.5
Coppeneur,Germany,Ecuador,100, ,high intensity bitter,1.5
Coppeneur,Germany,Grenada,72,"3- B,S,C",coffee and cocoa,3.25
Coppeneur,Germany,Jamaica,72,"3- B,S,C","oily, fatty, rum",3.25
Coppeneur,Germany,Venezuela,72,"3- B,S,C","oily, coffee",3.25
Coppeneur,Germany,Venezuela,70,"3- B,S,C","fruity, bland",3
Coppeneur,Germany,Trinidad,72,"3- B,S,C","dry, spicy, woody",3
Coppeneur,Germany,Ecuador,72,"3- B,S,C","harsh aroma, melon floral,off",2.5
Coppeneur,Germany,Venezuela,70,"3- B,S,C","dark berry, winey",3.75
Coppeneur,Germany,Venezuela,70,"3- B,S,C","slow, less intense berry, nutty",3.5
Coppeneur,Germany,Peru,62,"3- B,S,C","woodsy, nutty",3.25
Coppeneur,Germany,Peru,72,"3- B,S,C","creamy, buttery, non descript",3
Coppeneur,Germany,Mexico,72,"3- B,S,C","intense, tangy, berry, sour",3
Coppeneur,Germany,Venezuela,72,"3- B,S,C","lemon, sour, slight metallic",3
Coppeneur,Germany,Madagascar,72,"3- B,S,C","creamy, woodsy, cocoa",3
Cote d' Or (Kraft),Belgium,Blend,70, ,this is not chocolate,1
Cravve,Australia,Vanuatu,83,"3- B,S,C",banana nut,2.75
Cravve,Australia,Papua New Guinea,70,"3- B,S,C","true to sugar, molasses",2.5
Cravve,Australia,Papua New Guinea,75,"3- B,S,C","sandy, sweet, nutty",3.5
Cravve,Australia,Tanzania,75,"3- B,S,C","spice, roasty, off fatty note",3.25
Cravve,Australia,Brazil,65,"3- B,S,C","sandy, sweet, smokey",3.25
Cravve,Australia,Fiji,67,"3- B,S,C","acidic, sweet, cucumber",3.25
Cravve,Australia,Vanuatu,64,"3- B,S,C","sandy, sweet, spicy, roasty",3.25
Creo,U.S.A.,Ecuador,73,"3- B,S,C","creamy, complex, fruity",3.75
Creo,U.S.A.,Ecuador,85,"3- B,S,C","oily, mild bitter, nutty, fruit",3.25
Crow and Moss,U.S.A.,India,70,"2- B,S","sticky, cocoa, honey",3.75
Crow and Moss,U.S.A.,Honduras,70,"2- B,S","banana, spicy, grassy",3.5
Crow and Moss,U.S.A.,Dominican Republic,70,"2- B,S","deep cherry, earthy, rubbery",3.25
Crow and Moss,U.S.A.,Colombia,70,"2- B,S","nutty, citrus",3.25
Crow and Moss,U.S.A.,Ecuador,70,"2- B,S","bold, black tea, floral, banana",3.25
CRU,U.S.A.,Guatemala,72,"2- B,S","sticky, mild molasses, mango",3.5
CRU,U.S.A.,Nicaragua,72,"2- B,S","mild molasses, creamy, caramel",3.5
CRU,U.S.A.,Honduras,72,"2- B,S","floral, mild molasses, astringent",3
Cultura,U.S.A.,Haiti,70,"3- B,S,C",rich malt,3.5
Cultura,U.S.A.,Belize,75,"3- B,S,C","raspberry, cocoa",3.5
Cultura,U.S.A.,Mexico,70,"3- B,S,C","raisins, honey, molassses",3.5
Cultura,U.S.A.,Guatemala,70,"3- B,S,C","sandy, sweet, basic cocoa base",3.25
Cuna de Piedra,Mexico,Mexico,73,"2- B,S","deep cocoa, fruit, melon",3.75
Daintree,Australia,Australia,70,"3- B,S,C","sandy, candy like vanilla, off",2.75
Daintree,Australia,Australia,70,"5- B,S,C,V,L","vanilla, banana, citrus",3.25
Dalloway,U.S.A.,Dominican Republic,72,"2- B,S","hammy, sour, astringent",2.75
Damson,U.K.,Blend,65,"4- B,S,C,L","sweet, vinegar",2.5
Damson,U.K.,Ecuador,70,"3- B,S,C","floral, banana",3.5
Damson,U.K.,Trinidad,70,"3- B,S,C","floral, sour, synthetic, off",3
Damson,U.K.,Nicaragua,70,"3- B,S,C","oily, grapes, pungent",2.75
Damson,U.K.,Grenada,70,"3- B,S,C","off, pungent, intense",2.25
Dancing Lion,U.S.A.,Peru,72,"4- B,S,C,L","raisiny, slight anise, roasty",3.5
Dancing Lion,U.S.A.,India,72,"4- B,S,C,L","fresh fruit, sour cherry, roasty",3
Dancing Lion,U.S.A.,Puerto Rico,68,"4- B,S,C,L","harsh woody/green, cocoa base",2.5
Dandelion,U.S.A.,Brazil,70,"2- B,S",distinct choco and graham,4
Dandelion,U.S.A.,Tanzania,70,"2- B,S","dairy, honey, cocoa",3.5
Dandelion,U.S.A.,Dominican Republic,70,"2- B,S","faint fruit, basic fudgey",3.5
Dandelion,U.S.A.,Peru,70,"2- B,S","grape, pungent ",3.25
Dandelion,U.S.A.,India,70,"2- B,S","orange soda, sour",3.25
Dandelion,U.S.A.,Guatemala,70,"2- B,S","pungent, woody, choco pudding",2.75
Dandelion,U.S.A.,India,70,"2- B,S","pungent, sour, tart, intense",2.75
Dandelion,U.S.A.,Vietnam,70,"2- B,S","green apple, sticky",3.5
Dandelion,U.S.A.,India,70,"2- B,S","ripe orange, citrus ",3.5
Dandelion,U.S.A.,Honduras,70,"2- B,S","nutty, moderate acidity",3.25
Dandelion,U.S.A.,Sierra Leone,70,"2- B,S","vegetal, high astringency",3
Dandelion,U.S.A.,Costa Rica,70,"2- B,S","cocoa, sour, toffee, earthy",3
Dandelion,U.S.A.,Dominican Republic,70,"2- B,S","cherry, rich choco",3.75
Dandelion,U.S.A.,Belize,70,"2- B,S","intense, roasty, coffee, raisin",3
Dandelion,U.S.A.,Dominican Republic,70,"2- B,S","cherry, rich choco",3.75
Dandelion,U.S.A.,Belize,70,"2- B,S","heavy roast, blackberry",3.5
Dandelion,U.S.A.,Ecuador,70,"2- B,S","gummy, nutty, bourbon",3.5
Dandelion,U.S.A.,Liberia,70,"2- B,S","roasty, spicy, nutty",2.75
Dandelion,U.S.A.,Venezuela,70,"2- B,S","roasty, oreo shell, coffee",3.5
Dandelion,U.S.A.,Papua New Guinea,70,"2- B,S","mild smoke, raspberry,cocoa",3.5
Dandelion,U.S.A.,Venezuela,70,"2- B,S","licorice, sour, rich cocoa",3.25
Dandelion,U.S.A.,Venezuela,70,"2- B,S","acidic, sour, cocoa",2.75
Dandelion,U.S.A.,Dominican Republic,70,"2- B,S","spicy, fudgey",3.75
Dandelion,U.S.A.,Colombia,70,"2- B,S","grassy, green, candy spice",3.25
Dandelion,U.S.A.,Costa Rica,70,"2- B,S","dried fruit, tannic",3
Dandelion (aka Brower Ave),U.S.A.,Dominican Republic,70,"2- B,S","grassy, fruity, brownie",3.25
Dandelion (aka Brower Ave),U.S.A.,Madagascar,70,"2- B,S","brownie, red berry",3.25
Dandelion (aka Brower Ave),U.S.A.,Tanzania,70,"2- B,S",cocoa flavor dominates,3.25
Dandelion (Japan),U.S.A.,Dominican Republic,70,"2- B,S","light caramel, sl. dry, earthy",3
Danta,Guatemala,Guatemala,82,"4- B,S,C,V","fatty, sunflower, peanutbutter",3.25
Danta,Guatemala,Guatemala,70,"2- B,S","sweet spice, floral",4
Danta,Guatemala,Guatemala,70,"2- B,S",spicy,3.75
Danta,Guatemala,Madagascar,70,"2- B,S","oily, toffee, hints of fruit",3.75
Danta,Guatemala,Guatemala,70,"2- B,S","nutty, ashey, spicy pepper",3.25
Danta,Guatemala,Venezuela,75,"4- B,S,C,V","gummy, fatty, caramel",3
Danta,Guatemala,Guatemala,60,"4- B,S,C,V","oily, dried fruit, vanilla",3.5
Danta,Guatemala,Guatemala,60,"4- B,S,C,V","wood, holiday spice, soap",3.25
Danta,Guatemala,Guatemala,75,"4- B,S,C,V","dark woody, plum, astringent",3
DAR,U.S.A.,Costa Rica,72,"3- B,S,C","creamy, intense, tart, cherry",3.75
DAR,U.S.A.,Blend,70,"2- B,S","floral, licorice, roasty",3.25
DAR,U.S.A.,Vietnam,72,"2- B,S","raisins, astringent",3
DAR,U.S.A.,Venezuela,72,"2- B,S","nut, tobacco, burnt, off notes",2.75
Darcis,Belgium,Vietnam,70,"4- B,S,C,L","muted, creamy, basic cocoa",3.25
Darcis,Belgium,Peru,72,"4- B,S,C,L","muted, creamy, grapes, fatty",3
Dark Forest,U.S.A.,Bolivia,75,"3- B,S,C","mild cherry, fatty",3.25
Dark Forest,U.S.A.,Venezuela,70,"3- B,S,C","roasty, nutty, sweet",3.25
Dark Forest,U.S.A.,Ecuador,70,"3- B,S,C","bold, floral, rum",3.25
Dark Forest,U.S.A.,Madagascar,70,"3- B,S,C","sweet, strong sour, acidic",3
Dark Forest,U.S.A.,Tanzania,70,"3- B,S,C","intense, sweet, brownie",3
Davis,U.S.A.,Dominican Republic,70,"4- B,S,C,L","chalky, vanilla, caramel",2.75
Davis,U.S.A.,Venezuela,70,"4- B,S,C,L","fatty, powdery, nut, sl. Burnt",2.75
Davis,U.S.A.,Ghana,70,"4- B,S,C,L","vanilla, fatty, basic cocoa",2.5
Davis,U.S.A.,Blend,58,"4- B,S,C,L","nice melt, odd rubber notes",3.25
De Mendes,Brazil,Brazil,72,"3- B,S,C","texture issues, brownie",3.5
De Mendes,Brazil,Brazil,65,"3- B,S,C","one dimensional, brownie",3.5
De Villiers,South Africa,Madagascar,70,"3- B,S,C","high roast, fruit",3
De Villiers,South Africa,Uganda,70,"3- B,S,C","high roast, intense, fatty",2.5
Dean and Deluca (Belcolade),U.S.A. ,Costa Rica,64,"4- B,S,C,V","dark coffee, cocoa",3
Dean and Deluca (Belcolade),U.S.A. ,Ecuador,71,"4- B,S,C,V","cinamon, nutmeg, coffee",3
Dean and Deluca (Belcolade),U.S.A. ,Ghana,60,"4- B,S,C,V","nutty, simple, sweet",3
Dean and Deluca (Belcolade),U.S.A. ,Papua New Guinea,64,"4- B,S,C,V","waxy, tobacco, smokey",3
Dean and Deluca (Belcolade),U.S.A. ,Peru,64,"4- B,S,C,V","mild mint, basic cocoa",3
Dean and Deluca (Belcolade),U.S.A. ,Madagascar,66,"4- B,S,C,V","sandy, cloying, rich cocoa",2.5
Debauve & Gallais (Michel Cluizel),France,Papua New Guinea,64,"4- B,S,C,V","smokey,chalky,berry,caramel",3
Debauve & Gallais (Michel Cluizel),France,Venezuela,66,"4- B,S,C,V","fatty, rich cocoa, roasty",3.75
Definite,Dominican Republic,Dominican Republic,80,"2- B,S","mild bitter, fatty, grassy",3
Definite,Dominican Republic,Dominican Republic,70,"2- B,S","metallic, dirt/ earthy",2.5
Definite,Dominican Republic,Dominican Republic,70,"2- B,S","dirty, floral, unrefined",2.5
Desbarres,Canada,Guatemala,72,"2- B,S","smokey, roasty, acidic, rich",3
Desbarres,Canada,Tanzania,72,"2- B,S","vanilla, chemical, rubber",2.5
DeVries,U.S.A.,Bolivia,80,"2- B,S","intense fruit, bitter ending",2.75
DeVries,U.S.A.,Costa Rica,77,"2- B,S","red berry, lingering coffee",3.5
DeVries,U.S.A.,Dominican Republic,77,"2- B,S","sticky, woodsy, rum",3.5
Dick Taylor,U.S.A.,Mexico,72,"2- B,S","dried fruit, fig, astringent, sticky",4
Dick Taylor,U.S.A.,Jamaica,75,"2- B,S","sl. bitter, black licorice, dried fig",3.75
Dick Taylor,U.S.A.,Blend,73,"2- B,S","burnt honey, earthy",3.5
Dick Taylor,U.S.A.,Belize,72,"2- B,S","creamy, sticky, dried fruit",4
Dick Taylor,U.S.A.,Madagascar,72,"2- B,S","sticky, dried fruit, toast, cocoa",3.75
Dick Taylor,U.S.A.,Fiji,80,"2- B,S","cocoa, tea, malt",3.75
Dick Taylor,U.S.A.,Solomon Islands,72,"2- B,S","well defined, creamy, cherry",4
Dick Taylor,U.S.A.,Guatemala,70,"2- B,S","blackberry, raisns",3.75
Dick Taylor,U.S.A.,Brazil,75,"2- B,S","sticky, roasty nibs, grapes",3.75
Dick Taylor,U.S.A.,Vietnam,78,"2- B,S","tropical berry, intense",3.5
Dick Taylor,U.S.A.,Bolivia,70,"2- B,S","sticky, rich, cherry",3.75
Dick Taylor,U.S.A.,Dominican Republic,74,"2- B,S","mild fruit and spice, roasty",3.5
Dick Taylor,U.S.A.,Ecuador,76,"2- B,S","butter, floral, rum",3.5
Dick Taylor,U.S.A.,Ecuador,70,"2- B,S","oily, black pepper, roasty",3.25
Dick Taylor,U.S.A.,Bolivia,75,"2- B,S","dry, mint, medicinal",2.75
Dick Taylor,U.S.A.,Ecuador,70,"2- B,S","grassy, tea, late sour",3.25
Dick Taylor,U.S.A.,Dominican Republic,74,"2- B,S","earthy, tart, sour",3
Dick Taylor,U.S.A.,Madagascar,80,"2- B,S","sandy, flat, hint of berry",2.75
Dick Taylor,U.S.A.,Venezuela,75,"2- B,S","sticky, very roasty, nutty",2.75
Didier Smeets,Belgium,Madagascar,63,"3- B,S,C","sl sour, grassy, off, fatty",3
Didier Smeets,Belgium,Peru,65,"3- B,S,C","peanut butter, dirty",2.75
Didier Smeets,Belgium,Vietnam,70,"3- B,S,C","sweet, fatty, rancid",2.75
Didier Smeets,Belgium,Bali,65,"3- B,S,C","earthy, astringent, metallic",2.5
Diogo Vaz,Sao Tome & Principe,Sao Tome,65,"4- B,S,C,L","complex, sweet, sour, grassy",3
Diogo Vaz,Sao Tome & Principe,Sao Tome,75,"4- B,S,C,L","bland, fatty, fruit",3
Diogo Vaz,Sao Tome & Principe,Sao Tome,70,"4- B,S,C,L","cocoa, raw, dirty, chemical",2.75
Diogo Vaz,Sao Tome & Principe,Sao Tome,75,"4- B,S,C,L","late cocoa, harsh, off notes",2.5
Doble & Bignall,U.K.,Venezuela,85,"3- B,S,C","intense, spicy, floral",3
Doble & Bignall,U.K.,Nicaragua,72,"3- B,S,C","nutty, caramel, toffee",3.5
Doble & Bignall,U.K.,Panama,72,"3- B,S,C","mild cherry, earthy",3.25
Doble & Bignall,U.K.,Venezuela,72,"3- B,S,C","fatty, rasin, nutty",3.25
Dole (Guittard),U.S.A.,U.S.A.,70, ,"creamy, nutty, fruity",3.75
Dolfin (Belcolade),Belgium,Blend,88,"3- B,S,L","sticky, floral",3
Dolfin (Belcolade),Belgium,Blend,70,"3- B,S,L","acidic, astringent, unpleasant",1.5
Domori,Italy,Brazil,70,"2- B,S","grassy, herbal, tea",3.5
Domori,Italy,Tanzania,70,"2- B,S","creamy, sticky, fruit",4
Domori,Italy,Ecuador,70,"2- B,S","floral, well developed, creamy",3.75
Domori,Italy,Venezuela,70,"2- B,S","nutty, strawberry, creamy",3.75
Domori,Italy,Venezuela,100, ,"smooth, fruit, coffee, bitter",3
Domori,Italy,Venezuela,70,"2- B,S","creamy, coffee, caramel",3.75
Domori,Italy,Tanzania,70,"2- B,S","sticky, nutty",3.5
Domori,Italy,Venezuela,70,"2- B,S","smooth, intense, smoke, nut",3.5
Domori,Italy,Venezuela,70,"2- B,S","subtle, caramel, sour milk",3
Domori,Italy,Blend,70,"2- B,S","sticky, olive",3.75
Domori,Italy,Blend,78,"2- B,S","sticky, grassy, coffee",3.5
Domori,Italy,Venezuela,70,"2- B,S","cucumber, hot spices",3
Domori,Italy,Colombia,70,"2- B,S","creamy, woody, earthy",3
Domori,Italy,Venezuela,70,"2- B,S","creamy, complex, coffee",4
Domori,Italy,Ecuador,70,"2- B,S","creamy, nuts, woody, cocoa",4
Domori,Italy,Venezuela,70,"2- B,S","creamy, mint, tobacco, olive",4
Domori,Italy,Indonesia,70,"2- B,S","creamy, smokey, tobacco",3.75
Domori,Italy,Madagascar,70,"2- B,S","fruity, basic cocoa",3.5
Domori,Italy,Madagascar,70,"2- B,S","smooth, banana, cocoa",3.5
Domori,Italy,Venezuela,75,"2- B,S","sticky, smoke, ham, earthy",3.25
Domori,Italy,Venezuela,60,"2- B,S","mild spice, licorice",3.25
Domori,Italy,Venezuela,70,"2- B,S","creamy, basic cocoa",3.5
Domori,Italy,Peru,70,"2- B,S","floral, olive",3.25
Domori,Italy,Venezuela,70,"2- B,S","long lasting, fruit",3
Dormouse,U.K.,Belize,78,"3- B,S,C",molasses notes dominate,3.25
Dormouse,U.K.,Guatemala,72,"3- B,S*,C","near perfect shine, cocoa",3.5
Dormouse,U.K.,Peru,80,"2- B,S*","molasses, fruit",3.5
Dormouse,U.K.,Philippines,71.5,"3- B,S*,C",molasses notes from sugar,2.75
Dormouse,U.K.,Grenada,75,"3- B,S*,C","licorice, molasses, rubber",2.75
Dormouse,U.K.,Colombia,80,"3- B,S,C","bitter,molasses,marshmallow",2.75
Dormouse,U.K.,Madagascar,77,"3- B,S,C","fruity, molasses",2.75
Dormouse,U.K.,Venezuela,70,"3- B,S,C","burnt rubber, molasses",2.5
Double Spiral,U.S.A.,Dominican Republic,75,"2- B,S","dry, cocoa, grassy, spicy",3
Double Spiral,U.S.A.,Tanzania,70,"2- B,S","dry, sour, sweet, mild fruit",2.75
Double Spiral,U.S.A.,Dominican Republic,75,"2- B,S","dry, earthy, walnut",2.5
Ducrey,U.S.A.,Peru,70,"2- B,S","bold, grapes, roasty, chocolatey",3.5
Ducrey,U.S.A.,Haiti,60,"2- B,S","gritty,sweet,brownie,maple syrup",3
Ducrey,U.S.A.,Peru,75,"2- B,S","savory, sl. sour",3
Ducrey,U.S.A.,Peru,75,"2- B,S","malted hot cocoa, sandy, roasty",3
Ducrey,U.S.A.,Peru,60,"2- B,S","very sweet, cocoa",3
Ducrey,U.S.A.,Mexico,70,"2- B,S","burnt brownie, sweet",3
Ducrey,U.S.A.,Dominican Republic,70,"2- B,S","tobacco, roasty, hint of fruit",3.25
Ducrey,U.S.A.,Haiti,70,"2- B,S","rich brownie, roasty, coffee",3.25
Ducrey,U.S.A.,Nicaragua,75,"2- B,S","earthy, dirty",2.75
Duffy's,U.K.,Nicaragua,70,"4- B,S,C,L","fruit, holiday spice",3.5
Duffy's,U.K.,Philippines,70,"4- B,S,C,L","cocoa, honey, watery, sweet",3.5
Duffy's,U.K.,Guatemala,80,"4- B,S,C,L","intense earthy, cocoa, roasty",3.25
Duffy's,U.K.,Nigeria,70,"4- B,S,C,L",candy like off flavor,2.75
Duffy's,U.K.,Guatemala,70,"4- B,S,C,L","intense, spicy, butterscotch",4
Duffy's,U.K.,Nicaragua,76,"4- B,S,C,L","black pepper, rich, intense",3.75
Duffy's,U.K.,Nicaragua,70,"4- B,S,C,L","sandy, full bodied, spicy",3.5
Duffy's,U.K.,Venezuela,72,"3- B,S,C","creamy, nutty",3.75
Duffy's,U.K.,Honduras,72,"3- B,S,C","dried fruit, grapes, sour",3.75
Duffy's,U.K.,Dominican Republic,65,"3- B,S,C","heavy roast, woody, berry",3.5
Duffy's,U.K.,Venezuela,71,"3- B,S,C",intense cocoa,3.5
Duffy's,U.K.,Nicaragua,71,"3- B,S,C","intense, almond, coffee",3.25
Duffy's,U.K.,Panama,72,"3- B,S,C","licorice, leathery",3
Duffy's,U.K.,Ecuador,72,"3- B,S,C","rich cocoa, fruity, strong floral",3.75
Duffy's,U.K.,Peru,70,"3- B,S,C","dark forest berry, spice",3.75
Duffy's,U.K.,Panama,70,"3- B,S,C",caramel and cocoa,3.5
Duffy's,U.K.,Ecuador,70,"3- B,S,C","chalky, bread, dirt",2.5
Dulcinea,U.S.A.,Dominican Republic,70,"2- B,S","coarse, earthy, mild banana",3.25
Durand,France,Madagascar,82, ,"fatty, muted",2.75
Durci,U.S.A.,Peru,70,"3- B,S,C","smoth, dense, grape",4
Durci,U.S.A.,Ecuador,70,"3- B,S,C",blackberry and cinnamon,4
Durci,U.S.A.,Peru,70,"3- B,S,C","sandy, orange, butterscotch",3.5
Durci,U.S.A.,Venezuela,70,"3- B,S,C","fatty, roasty, intense brownie",3.5
Durci,U.S.A.,Dominican Republic,70,"3- B,S,C","dates, acidic, rich cocoa",3.25
Durci,U.S.A.,Venezuela,70,"3- B,S,C","cherry, earthy, tobacco",3.25
DWAAR,U.S.A.,Dominican Republic,70,"3- B,S,C","accidental spicy (Kulfi?), burn",3
East Van Roasters,Canada,Dominican Republic,70,"3- B,S,C","spicy, cocoa",3.75
East Van Roasters,Canada,Madagascar,70,"3- B,S,C",ultra fruity,3.5
East Van Roasters,Canada,Peru,70,"3- B,S,C","waxy, spicy, tobacco",3.25
Eau de Rose,Canada,Colombia,70,"3- B,S,C","dried fruit, strong floral",3.25
Eau de Rose,Canada,Colombia,70,"3- B,S,C","mild, dried fruit, chocolate",3.25
Eclat (Felchlin),U.S.A.,Peru,72,"3- B,S,C","buttery, burlap",2.75
Eclat (Fruition),U.S.A.,Peru,80,"2- B,S","nutty, almond butter",3.5
Edelmond,Germany,Venezuela,68,"2- B,S","dry, gritty, cardboard, nutty",3
Eigen,U.S.A.,Vietnam,70,"3- B,S,C","complex, tart, sweet, hazelnut",3.5
Eigen,U.S.A.,Colombia,70,"3- B,S,C","toffee, caramel, sl. Fatty",3.5
Eigen,U.S.A.,Tanzania,70,"3- B,S,C","creamy, minted cocoa, fruit",3.25
Eigen,U.S.A.,Vietnam,62,"3- B,S,C","sweet, smooth, caramel, cocoa",3.25
Eigen,U.S.A.,Trinidad,70,"3- B,S,C","vegetal, rubbery, burnt, off",3
Eigen,U.S.A.,Dominican Republic,70,"3- B,S,C","cashew, dried fruit, coffee AT",3
El Buen,U.S.A.,Madagascar,70,"2- B,S","molasses, red fruit, astringent",3
El Buen,U.S.A.,Colombia,70,"2- B,S","cocoa, spice, alcohol, dirty",3
El Ceibo,Bolivia,Bolivia,75,"4- B,S,C,L","nutty, rich, red berry",3.75
El Ceibo,Bolivia,Bolivia,71,"4- B,S,C,L","lemon, tart, burnt, chemical",2.75
El Rey,Venezuela,Venezuela,70,"5- B,S,C,V,L","spicy, caramel, vanilla",3.75
El Rey,Venezuela,Venezuela,70,"5- B,S,C,V,L","sandy,bold,cherry,peanut butter",3
El Rey,Venezuela,Venezuela,60.5,"5- B,S,C,V,L","very sweet, marshmallow",2.75
El Rey,Venezuela,Venezuela,61,"5- B,S,C,V,L","muted, cherry, banana",3
El Rey,Venezuela,Venezuela,74,"5- B,S,C,V,L","sandy, banana, sour",2.5
El Rey,Venezuela,Venezuela,58,"5- B,S,C,V,L","gritty, sweet, banana, smoke",2.5
El Rey,Venezuela,Venezuela,70,"5- B,S,C,V,L","gritty, chalky, earthy, sour",2.75
Eldora,U.S.A.,Uganda,70,"3- B,S,C","simple, mild caramel, choco",3.75
Eldora,U.S.A.,Tanzania,70,"3- B,S,C","heavy roast, choco, coffee-like",3.5
Eldora,U.S.A.,Belize,70,"3- B,S,C","dried fruit, raisiny, mild roast",3.5
Eldora,U.S.A.,Madagascar,70,"3- B,S,C","roasty, hammy, sour",3.25
Eldora,U.S.A.,Ecuador,70,"3- B,S,C","fatty, floral, rum, roasty",3
Eldora,U.S.A.,Dominican Republic,70,"3- B,S,C","dominate roast, fruit then earthy",3
Eldora,U.S.A.,Guatemala,70,"3- B,S,C","cocoa, fig notes",3.5
Emerald Estate,St. Lucia,St. Lucia,70,"2- B,S","sandy, tannic, earthy",3.25
Emerald Estate,St. Lucia,St. Lucia,60,"2- B,S","low refinement, too sweet",2.75
Emily's,Japan,Peru,78,"3- B,S,C","brownine, nutty",3.5
Emily's,Japan,Venezuela,79,"3- B,S,C","coarse, woody, roasty",3
Encuentro,France,Haiti,70,"2- B,S","simple, mild cocoa, fruit",3.5
Encuentro,France,Guatemala,70,"2- B,S","spicy, sweet,",3.5
Encuentro,France,Madagascar,70,"2- B,S","fruity, roasty",3.5
Encuentro,France,Dominican Republic,70,"2- B,S","earthy, floral, cocoa",3.25
ENNA,U.S.A.,Trinidad,72,"3- B,S,C","muddy, raisins, nut, rubbery",3.5
ENNA,U.S.A.,Tanzania,80,"3- B,S,C","fruit, dirty",3
ENNA,U.S.A.,Sierra Leone,70,"3- B,S,C","dirty, earthy, burnt, honey",2.5
ENNA,U.S.A.,Vietnam,72,"2- B,S","intens, brownie, spicy, metal",3
ENNA,U.S.A.,Honduras,75,"2- B,S","carrots, heavy roast",3.25
Enric Rovira (Claudio Corallo),Spain,Blend,80, ,"unrefined, crumbly, sweet",3.25
Erithaj (A. Morin),France,Vietnam,70,"3- B,S,C","spicy, green, long, intense",3.25
Erithaj (A. Morin),France,Vietnam,74,"3- B,S,C","grit,smoke, wood, blackberry",3.25
Erithaj (A. Morin),France,Vietnam,80,"3- B,S,C","mild bitter, smoke, hammy",3
Escazu,U.S.A.,Colombia,70,"2- B,S","mild licorice, late mocha",3.5
Escazu,U.S.A.,Blend,65,"3- B,S,C","sweet, too few nibs, cocoa",3
Escazu,U.S.A.,Venezuela,70,"4- B,S,C,V","nutty, ginger, off notes",2.75
Escazu,U.S.A.,Venezuela,81,"4- B,S,C,V","hazelnut, fruit, slight bitter",3.5
